year,flower_date,flower_doy,avg_temp_march_c
1953,1953-04-05,95,-0.9
1954,1954-03-29,88,-2.5
1955,1955-03-28,87,-1.3
1956,1956-04-01,92,-2.0
1957,1957-04-07,97,-2.9
1958,1958-04-02,92,-2.3
1959,1959-03-23,82,0.8
1960,1960-03-29,89,-1.4
1961,1961-03-31,90,-1.4
1962,1962-04-02,92,-2.5
1963,1963-04-04,94,0.1
1964,1964-04-05,96,-1.3
1965,1965-04-09,99,-2.8
1966,1966-03-27,86,-1.0
1967,1967-04-01,91,-0.7
1968,1968-04-02,93,1.9
1969,1969-04-07,97,-2.5
1970,1970-04-09,99,-4.2
1971,1971-04-01,91,-1.7
1972,1972-03-30,90,-0.6
1973,1973-04-01,91,-2.9
1974,1974-04-04,94,-2.1
1975,1975-04-04,94,-1.5
1976,1976-03-29,89,-1.4
1977,1977-03-29,88,-1.0
1978,1978-04-08,98,-1.6
1979,1979-03-31,90,-2.5
1980,1980-04-05,96,-1.9
1981,1981-03-30,89,-2.6
1982,1982-03-24,83,-0.6
1983,1983-04-02,92,-1.9
1984,1984-04-09,100,-3.3
1985,1985-04-02,92,-1.4
1986,1986-04-03,93,-2.4
1987,1987-03-27,86,-1.4
1988,1988-04-05,96,-1.8
1989,1989-03-24,83,0.8
1990,1990-03-21,80,1.4
1991,1991-03-30,89,-1.5
1992,1992-03-27,87,-0.4
1993,1993-03-28,87,-0.2
1994,1994-04-03,93,-1.3
1995,1995-03-31,90,-0.8
1996,1996-03-31,91,-1.0
1997,1997-03-26,85,-1.5
1998,1998-03-24,83,0.3
1999,1999-03-25,84,-2.6
2000,2000-04-03,94,-2.1
2001,2001-03-24,83,-2.4
2002,2002-03-18,77,0.5
2003,2003-03-28,87,-0.7
2004,2004-03-24,84,-0.5
2005,2005-04-02,92,-1.0
2006,2006-03-27,86,-0.9
2007,2007-03-25,84,-0.7
2008,2008-03-24,84,0.6
2009,2009-03-19,78,0.0
2010,2010-03-19,78,-1.4
2011,2011-03-28,87,-0.6
2012,2012-04-03,94,-2.4
2013,2013-03-22,81,-1.3
2014,2014-03-27,86,-1.2
2015,2015-03-27,86,2.3
2016,2016-03-23,83,0.5
2017,2017-03-31,90,-0.4
2018,2018-03-22,81,0.1
2019,2019-03-27,86,0.1
